identifier,headline,date,source,source,subject,relevant_text,paragraphs,word count,keywords,path
AFL,Aflac No. 17 on LATINA Style's List of 50 Best Companies for Latinas to Work for in the US,9-Dec-19,PRN,Aflac,Human Interest Groups,"""Being on LATINA  Style's list of the 50 Best Companies for Latinas to Work for in the U.S. for 20 years is an amazing accomplishment that demonstrates Aflac's commitment to diversity and inclusion — a devotion that began with our founding and has been cultivated throughout my 30 years as CEO,"" Aflac Chairman and CEO Dan Amos  said. ""As a company that provides tremendous shareholder value and is dedicated to corporate responsibility, we recognize both the reputational and business value of doing business the right way, and promoting diversity is the right way to run a business."" | Company Celebrates 20th Year on Prestigious List for Diversity | LATINA  Style will host the 22nd Annual  LATINA  Style 50 Awards and Diversity Leaders Conference, honoring the LATINA Style 50 companies and their highest-ranking Latina executives,  Feb. 12, 2020, in Arlington, Virginia.",3,"97, 9, 32","Diversity and Inclusion, diversity",AFL - Aflac No. 17 on LATINA Style's List of 50 Best Companies for Latinas to Work for in the US - 09-Dec-19 - PRN.pdf
AFL,Aflac Signs Agreement to Acquire Group Benefits Business,19-Mar-20,PRN,Aflac Incorporated,"Acquisitions, Mergers & Takeovers, Contracts","insures 1 in 4 households. For 14 consecutive years, Aflac has been recognized by Ethisphere as one of the World's Most Ethical Companies. In 2020, Fortune included Aflac Incorporated on its list of World's Most Admired Companies for the 19th time, and Bloomberg added Aflac Incorporated to its Gender-Equality Index, which tracks the financial performance of public companies committed to supporting gender equality through policy development, representation and transparency. To find out how to get help with expenses health insurance doesn't cover, get to know us at aflac.com or aflac.com/espanol.",1,90,gender equality,AFL - Aflac Signs Agreement to Acquire Group Benefits Business - 19-Mar-20 - PRN.pdf
AFL,Aflac Unveils 2017 Corporate Social Responsibility Report,12-Sep-18,PRN,Aflac,Corporate Social Responsibility,"The report reflects Aflac's dedication to bringing value to the community through ethics, diversity and inclusion, philanthropy and sustainability – elements deemed of the highest importance by Reputation Institute, the gold standard in reputation tracking.",1,35,Diversity and Inclusion,AFL - Aflac Unveils 2017 Corporate Social Responsibility Report - 12-Sep-18 - PRN.pdf
AFL,"Aflac, Inc.(AFL",US) Schedules Analyst Meeting for 25-May-2016 800 AM ET,9,,,,0,0,,"AFL - Aflac, Inc.(AFL-US) Schedules Analyst Meeting for 25-May-2016 800 AM ET - 09-Dec-15 - FCSTTS.pdf"
AFL,"Aflac, Inc.(AFL",US) Schedules Q2 2020 Earnings Call for 29-July-2020 900 AM ET,20,,,,0,0,,"AFL - Aflac, Inc.(AFL-US) Schedules Q2 2020 Earnings Call for 29-July-2020 900 AM ET - 20-Dec-19 - FCSTEV.pdf"
"AIG, US026874784","AIG Names Karen Ling Executive Vice President, Chief Human Resources Officer",22-Jul-19,BW,"American International Group, Inc.","Photo/Multimedia, Personnel","As CHRO, Ms. Ling will lead AIG’s global human resources department and be responsible for aligning AIG’s talent strategy with the company’s long-term strategic, operational and financial objectives. In this role, Ms. Ling will oversee all aspects of human capital management, including talent acquisition, training, development, compensation and benefits, and diversity and inclusion.",1,53,Diversity and Inclusion,"AIG, US026874784 - AIG Names Karen Ling Executive Vice President, Chief Human Resources Officer - 22-Jul-19 - BW.pdf"
"AIG, AIG, US026874784",AIG Releases 2013 Corporate Citizenship Report,26-Aug-14,BW,"American International Group, Inc.",,"Diversity and inclusion - recognizing that companies with diverse employees, clients, brokers, agents and suppliers are better positioned to develop creative solutions to complex business challenges.",1,26,Diversity and Inclusion,"AIG, AIG, US026874784 - AIG Releases 2013 Corporate Citizenship Report - 26-Aug-14 - BW.pdf"
"AIG, AIG, US026874784",AIG Releases 2014 Corporate Citizenship Report,1-Jul-15,BW,"American International Group, Inc.",Product/Service,"Diversity and inclusion - recognizing that companies with diverse employees, clients, brokers, agents, and suppliers are better positioned to develop creative solutions to complex business challenges.",1,26,Diversity and Inclusion,"AIG, AIG, US026874784 - AIG Releases 2014 Corporate Citizenship Report - 01-Jul-15 - BW.pdf"
"AIG, US026874784",AIG Releases 2015 Corporate Citizenship Report,21-Jul-16,BW,"American International Group, Inc.",Survey,"Diversity and inclusion - supporting opportunities to cultivate diversity among employees, clients, brokers, agents, and suppliers to develop creative solutions to complex business challenges.",1,24,Diversity and Inclusion,"AIG, US026874784 - AIG Releases 2015 Corporate Citizenship Report - 21-Jul-16 - BW.pdf"
"AIG, US026874784",AIG Releases 2017 Corporate Citizenship Report,4-Sep-18,BW,"American International Group, Inc.","Survey, Photo/Multimedia","Diversity and inclusion – encouraging a culture of inclusion that is designed to attract, develop, and retain diverse talent. | commitment to corporate citizenship and highlights themes intrinsic to its citizenship activities, including sustainability, employee engagement, and workforce diversity.",2,"19, 19","Diversity and Inclusion, diversity","AIG, US026874784 - AIG Releases 2017 Corporate Citizenship Report - 04-Sep-18 - BW.pdf"
AF,Air France,KLM SA(AF-FR) Schedules Q4 2019 Earnings Call for 20-February,2020 230 AM ET,,,,0,0,,AF - Air France-KLM SA(AF-FR) Schedules Q4 2019 Earnings Call for 20-February-2020 230 AM ET - 30-Jan-20 - FCSTEV.pdf
ALK,"Alaska Air Group, Inc.(ALK",US) Schedules Annual General Meeting for 3-May-2018 430 PM ET,28,,,,0,0,,"ALK - Alaska Air Group, Inc.(ALK-US) Schedules Annual General Meeting for 3-May-2018 430 PM ET - 28-Mar-18 - FCSTEV.pdf"
ALK,Alaska Airlines Named the Official Airline of Seattle Pride,30-Apr-19,PRN,Alaska Airlines,"Licensing & Marketing Agreements, Not For Profit Organizations, Human Interest Groups","Alaska is fully committed to celebrating diversity, inclusion, and the fight for equality.  Alaska also recognizes we can do better and appreciates that challenge. This challenge is met daily by Alaska employees, and led by our employee resource groups, such as GLOBE.",1,42,diversity,ALK - Alaska Airlines Named the Official Airline of Seattle Pride - 30-Apr-19 - PRN.pdf
ALK,Alaska Airlines promotes veteran leaders to focus on creating outstanding guest experiences and continued growth,13-Jan-20,PRN,Alaska Airlines,,"""Kyle has served Alaska extremely well as general counsel over the years,"" said  Brad Tilden, chairman and CEO of Alaska Air Group. ""In addition to critical counsel through our merger with Virgin America, he has built out a strong legal team, strengthened our ethics and compliance program, and served as a company-wide champion for diversity and inclusion. He has earned this promotion and we're all glad to see it happening.""",1,70,Diversity and Inclusion,ALK - Alaska Airlines promotes veteran leaders to focus on creating outstanding guest experiences and continued growth - 13-Jan-20 - PRN.pdf
"ALL.PRE, 002JPT",Allstate Black History Month Campaign Highlights Modern,Day African Americans Whose Stories are Worth Telling - 30-Jan,17,Allstate Insurance Company,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","Ariell Johnson – Owner, Amalgam Comics & Coffeehouse (Philadelphia)  Breaking through on diversity and inclusion is #WorthTelling. | Johnson opened Amalgam Comics & Coffeehouse as a way to promote diversity and inclusion within the comic book industry. Understanding the significance of African Americans seeing characters that look like themselves depicted as the hero or heroine of a story, she hoped that her shop could help promote the importance of representation in fictional stories. After opening the cafe in December 2015, and becoming a vocal advocate for diversity in the comic book community, Johnson's likeness appeared on the illustrated cover of MARVEL's Invincible Iron Man #1. | NORTHBROOK, Ill., Jan. 30, 2017 /PRNewswire/ -- In celebration of Black History Month, Allstate Insurance Company today announced the launch of its annual digital, social and radio campaign, ""Worth Telling."" This year, the campaign spotlights three African Americans who are making a positive impact on society and inspiring others. With ties to Mobile, Alabama , Philadelphia and New Orleans , these individuals are creating career opportunities for the underserved through barbering, raising awareness about diversity and representation through comics, and providing tools that support the advancement of African Americans through entrepreneurial opportunities.",3,"17, 87, 92","Diversity and Inclusion, diversity","ALL.PRE, 002JPT - Allstate Black History Month Campaign Highlights Modern-Day African Americans Whose Stories are Worth Telling - 30-Jan-17 - PRN.pdf"
ALL,Allstate Earns a Spot on the 2018 Top 50 Companies List from DiversityInc,2-May-18,PRN,Allstate,Human Interest Groups,"The DiversityInc Top 50 list, issued yearly since 2001, recognizes the nation's top companies for diversity and inclusion management. These companies excel in such areas as hiring, retaining and promoting women, minorities, people with disabilities, LGBT and veterans. | Allstate Earns a Spot on the 2018 Top 50 Companies List from DiversityInc   Wednesday, May 02, 2018 05:00:00 PM (GMT) | Allstate has been recognized by DiversityInc for 13 consecutive years | NORTHBROOK, Ill., May 2, 2018 /PRNewswire/ -- Allstate earned a spot on the 2018  Top 50 Companies list, DiversityInc announced yesterday. This is the 13th consecutive year Allstate has been recognized by DiversityInc for its inclusive diversity efforts. | ""Being a Top 50 company for 13 years in a row is further acknowledgement that Allstate is a leader in inclusive diversity,"" said Christy Harris, Allstate vice president, human resources and inclusive diversity. ""We know that actively seeking out and leveraging the collective mixture of individual differences and similarities improves business outcomes for our workforce, the marketplace and our communities."" | Inclusive diversity is one of Allstate's core values. The company's 11 Employee Resource Groups (ERGs) ensure all employees, regardless of background, are encouraged and perform at their highest levels. The company also establishes inclusive diversity commitments in every business unit to improve diversity in its talent recruiting efforts and on its leadership teams. | ""Events of the past year have demonstrated that decisive ethical leadership is necessary to guide any organization to success,"" said Luke Visconti, founder and CEO of DiversityInc. ""Successful leaders hold themselves accountable to be culturally competent, a skill that requires constant learning. DiversityInc Top 50 Companies have a metrics-evidenced ability to treat people more fairly than other large companies. They also have a greater-than-average return for their shareholders."" | DiversityInc's extensive annual survey yields an empirically-driven ranking based on recruitment, talent development, senior leadership commitment and supplier diversity. This year's competition was improved by new survey questions, increased emphasis on fairness over chasing numbers and more sophisticated analysis from DiversityInc's data scientists. | For more information on inclusive diversity at Allstate, visit  https://www.allstate.com/diversity.aspx.   | To view the entire Top 50 list, visit  http://www.diversityinc.com/top50 or follow the conversation at #DITop50. | the-2018-top-50-companies-list-from-diversityinc-300641262.html",11,"38, 20, 10, 38, 60, 53, 68, 43, 10, 15, 1","Diversity and Inclusion, diversity",ALL - Allstate Earns a Spot on the 2018 Top 50 Companies List from DiversityInc - 02-May-18 - PRN.pdf
ALL,Allstate Foundation Purple Purse and Actress Kerry Washington Unveil Handbag Collection to Raise Funds for Domestic Violence Survivors,29-Aug-16,PRN,The Allstate Foundation,"Corporate Social Responsibility, Human Interest Groups","1 Centers for Disease Control and Prevention;  National Intimate Partner and Sexual Violence Survey: 2010 Summary Report; p.2; http://www.cdc.gov/violenceprevention/pdf/nisvs_report2010-a.pdf | Allstate Foundation Purple Purse and Actress Kerry Washington Unveil Handbag Collection to Raise Funds for Domestic Violence Survivors  Monday, August 29, 2016 12:32:00 PM (GMT) | NORTHBROOK, Ill., Aug. 29, 2016 /PRNewswire/ -- Today, Allstate Foundation Purple Purse and Kerry Washington announced they will partner with  Tory Burch, Christian Louboutin and other designers to create an exclusive ""Purple Purse"" handbag collection. Each fashion house, as well as Washington, will design a series of limited-edition purple handbags that will be auctioned to benefit nearly 200 domestic violence nonprofits across the country. | One in four1 American women will experience domestic violence in her lifetime. And in 99 percent 2 of domestic violence cases, victims will also experience financial abuse, which means their abusers deny them access to money, ruin their credit by stealing their identity or harass them at work so they lose their jobs. Financial abuse is the No. 1 reason victims stay in or return to abusive relationships. Allstate Foundation Purple Purse aims to create long-term safety and security for domestic violence survivors through financial empowerment. | The designer handbags will be available for auction throughout October, which is National Domestic Violence Awareness Month. Details on the auctions will be announced in the coming weeks on Washington's Twitter page (@kerrywashington) and Purple Purse's Facebook page (facebook.com/purplepurse). One-hundred percent of the proceeds from the auctioned handbags will go toward providing vital services for survivors. | ""The purse is a powerful symbol of our movement to end domestic violence, but we know awareness isn't enough,"" said Vicky Dinges, senior vice president, Corporate Responsibility, Allstate Insurance Company. ""That's why our collaboration with these top designers is so critical to our cause. It's about reaching new audiences and raising much-needed funds for domestic violence survivors. If we're going to ask victims to ask for help, we need to ensure they will receive the support and resources they need to stay free from abuse and reclaim their lives."" | Since 2005, Allstate Foundation Purple Purse has created long-term security for domestic violence survivors through financial empowerment. The program has propelled more than 800,000 survivors on the road to safety through its tools, including the Moving Ahead Through Financial Management  curriculum, which equips women with the knowledge necessary to regain their financial independence. To date, The Allstate Foundation has invested more than $50 million to help educate the public about financial abuse and offer critical survivor services, including financial education, asset-building, job training and readiness programs.   | On an average day in 2015, more than 12,000 requests from victims for services such as emergency shelter and financial assistance went unanswered due to a lack of funding at domestic violence programs across the country. Visit PurplePurse.com today to help women become #FreeToWalk, and follow  Kerry Washington's Twitter page ( @kerrywashington) and Purple Purse's Facebook page (facebook.com/purplepurse) for updates on how to bid on the exclusive 2016 Purple Purse designs. | If you or someone you know is in a domestic violence situation, call the National Domestic Violence Hotline at 1-800-799-SAFE (7233) or TTY 1-800-787-3224. | About The Allstate Foundation  Established in 1952, The Allstate Foundation is an independent, charitable organization made possible by subsidiaries of The Allstate Corporation (NYSE: ALL). Through partnerships with nonprofit organizations across the country, The Allstate Foundation brings the relationships, reputation and resources of Allstate to support innovative and lasting solutions that enhance people's well-being and prosperity. With a focus on building financial independence for domestic violence survivors, empowering youth and celebrating the charitable community involvement of Allstate agency owners and employees, The Allstate Foundation works to bring out the good in people's lives. For more information, visit www.AllstateFoundation.org. | 2 Center for Financial Security;  Measuring the Effects of Domestic Violence on Women's Financial Well- Being; p.1; https://centerforfinancialsecurity.files.wordpress.com/2015/04/adams2011.pdf",11,"19, 25, 64, 86, 56, 89, 86, 71, 24, 98, 18","sexual violence, domestic violence",ALL - Allstate Foundation Purple Purse and Actress Kerry Washington Unveil Handbag Collection to Raise Funds for Domestic Violence Survivors - 29-Aug-16 - PRN.pdf
ALL,Allstate Foundation Purple Purse and Serena Williams Join Forces to End Domestic Violence and Financial Abuse,22-Jun-17,PRN,Allstate Foundation Purple Purse,"Corporate Social Responsibility, Licensing & Marketing Agreements, Human Interest Groups","1 Centers for Disease Control and Prevention;  National Intimate Partner and Sexual Violence Survey: 2010 Summary Report; p.2; http://www.cdc.gov/violenceprevention/pdf/nisvs_report2010-a.pdf  2 Center for Financial Security;  Measuring the Effects of Domestic Violence on Women's Financial Well- Being; p.1; https://centerforfinancialsecurity.files.wordpress.com/2015/04/adams2011.pdf  3 Allstate Foundation and FTI Consulting; Silent Weapon: Domestic Violence and Financial Abuse; 2014. | Allstate Foundation Purple Purse and Serena Williams Join Forces to End Domestic Violence and Financial Abuse  Thursday, June 22, 2017 01:05:00 PM (GMT) | NORTHBROOK, Ill., June 22, 2017 /PRNewswire/ -- Allstate Foundation Purple Purse today announced Serena Williams , tennis champion, entrepreneur and philanthropist, will serve as the program's new ambassador. In her role, Williams will raise awareness of the often invisible role financial abuse plays in keeping women trapped in abusive relationships and urge the public to help break the cycle of domestic violence. | One in four1 American women will experience domestic violence in her lifetime. While most people think only of cuts and bruises when they think of domestic violence, 99 percent2 of all domestic violence cases involve financial abuse. Financial abuse can include abusers preventing victims from accessing money, ruining their credit and harassing them at work so they lose their jobs. | ""Standing up for women's rights has long been a passion of mine,"" said Williams. ""I am honored to join Allstate Foundation Purple Purse to bring financial abuse and domestic violence out of the shadows and into the public conversation. I hope people will join the Purple Purse movement and work with us to end abuse against women."" | Nearly eight in 10 Americans (78 percent) are unaware that financial abuse is a form of domestic violence. 3 To address this lack of awareness, The Allstate Foundation is launching a new social experiment-based short film, ""Lost Purse.""  | The film provides a glimpse into the life of a domestic violence victim through her lost purse. It shines a light on the role financial abuse plays in keeping women trapped in domestic violence situations and explores how people react when faced with an opportunity to help a victim. | ""Our purpose at Allstate is to help people live their best lives, and that means continuing to raise awareness of domestic violence and empowering survivors to regain their financial independence,"" said Vicky Dinges, Allstate's senior vice president of corporate responsibility.  ""We are thrilled to welcome Serena, a longtime advocate and role model for so many, to the Purple Purse family. Her voice will bring new audiences into this critical conversation. Domestic violence won't go away on its own. We need everyone's voices – men's and women's – to stand up to abusers and speak on behalf of victims because no woman deserves to live in fear."" | Visit PurplePurse.com to learn more about domestic violence and financial abuse. Join The Allstate Foundation Purple Purse movement to empower more survivors to break free and stay free from violence.  | If you or someone you know is in a domestic violence situation, call the National Domestic Violence Hotline at 1-800-799-SAFE (7233) or TTY 1-800-787-3224. | Established in 1952, The Allstate Foundation is an independent, charitable organization made possible by subsidiaries of The Allstate Corporation (NYSE: ALL). Through partnerships with nonprofit organizations across the country, The Allstate Foundation brings the relationships, reputation and resources of Allstate to support innovative and lasting solutions that enhance people's well-being and prosperity. With a focus on building financial independence for domestic violence survivors, empowering youth and celebrating the charitable community involvement of Allstate agency owners and employees, The Allstate Foundation works to bring out the good in people's lives. For more information, visit www.AllstateFoundation.org. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/allstate- foundation-purple-purse-and-serena-williams-join-forces-to-end-domestic-violence-and-financial-abuse- 300478077.html",12,"51, 23, 62, 60, 57, 38, 49, 106, 30, 24, 94, 12","sexual violence, domestic-violence, domestic violence",ALL - Allstate Foundation Purple Purse and Serena Williams Join Forces to End Domestic Violence and Financial Abuse - 22-Jun-17 - PRN.pdf
ALL,Allstate Foundation Purple Purse Challenge® Raises $4.18 million for Domestic Violence Programs,13-Nov-17,PRN,The Allstate Foundation,Corporate Social Responsibility,"Allstate Foundation Purple Purse Challenge® Raises $4.18 million for Domestic Violence Programs  Monday, November 13, 2017 10:30:00 AM (GMT) | Last month, Allstate Foundation Purple Purse and 221 nonprofits that support domestic violence survivors raised $4.18 million through a combination of fundraising and  $700,000 in incentive and prize money provided by The Allstate Foundation. In addition to the prize money, The Foundation also provided   promotional support and fundraising materials, including Purple Purse charms and a purple purse designed by program ambassador, tennis champion and philanthropist Serena Williams .  | The Purple Purse Challenge coincided with National Domestic Violence Awareness Month in October, a key fundraising time for domestic violence programs. A 2016 census survey found that on a single day last year, nearly 12,000 requests from survivors of domestic violence for emergency shelter, child care, financial aid and other services went unanswered because programs lacked funding. | ""One in four women will experience domestic violence in her lifetime. There are women experiencing abuse right now, and we need to let them know that there is hope and help,"" said Vicky Dinges, Allstate's senior vice president of corporate responsibility. ""The outpouring of public support is incredibly humbling because we know funding matters. This is about saving women's lives and breaking the cycle of violence for future generations. And it's going to take all of us – men and women – supporting survivors and working together to end the silence around abuse."" | FreeFrom Partners for Women and  Justice Wellspring Artemis Center for Alternatives  to Domestic Violence New Hampshire Coalition  Against Domestic and Sexual  Violence | The Allstate Foundation Purple Purse Challenge was administered by CrowdRise. It is part of Allstate Foundation Purple Purse, a public education and fundraising program aimed at raising awareness of the prevalence of domestic violence and financial abuse and the need for resources to help survivors. In 99 percent of domestic violence cases, victims experience financial abuse, which means their abusers deny them access to money and financial resources they need to break free. Financial abuse is one of the leading reasons women stay in or return to abusive relationships. | If you or someone you know is in a domestic violence situation, call the National Domestic Violence Hotline at 1-800-799-SAFE (7233) or TTY 1-800-787-3224. | Established in 1952, The Allstate Foundation is an independent charitable organization made possible by subsidiaries of The Allstate Corporation (NYSE: ALL). Through partnerships with nonprofit organizations across the country, The Allstate Foundation brings the relationships, reputation and resources of Allstate to support innovative and lasting solutions that enhance people's well-being and prosperity. With a focus on building financial independence for domestic violence survivors, empowering youth and celebrating the charitable community involvement of Allstate agency owners and employees, The Allstate Foundation works to bring out the good in people's lives. For more information, visit www.AllstateFoundation.org. | View original content with multimedia: http://www.prnewswire.com/news-releases/allstate-foundation-purple- purse-challenge-raises-418-million-for-domestic-violence-programs-300554369.html",9,"19, 68, 57, 93, 22, 89, 24, 94, 7","domestic-violence, domestic violence",ALL - Allstate Foundation Purple Purse Challenge® Raises $4.18 million for Domestic Violence Programs - 13-Nov-17 - PRN.pdf
ALL,Allstate Named As A 2017 World's Most Ethical Company By The Ethisphere Institute For The Third Time,13-Mar-17,PRN,The Allstate Corporation,"Corporate Social Responsibility, Human Interest Groups","""Over the last eleven years we have seen the shift in societal expectations, constant redefinition of laws and regulations and the geo-political climate. We have also seen how companies honored as the World's Most Ethical respond to these challenges. They invest in their local communities around the world, embrace strategies of diversity and inclusion, and focus on long term-ism as a sustainable business advantage,"" explained Ethisphere's Chief Executive Officer, Timothy Erblich. ""Congratulations to everyone at Allstate for being recognized as a World's Most Ethical Company.""",1,85,Diversity and Inclusion,ALL - Allstate Named As A 2017 World's Most Ethical Company By The Ethisphere Institute For The Third Time - 13-Mar-17 - PRN.pdf
ALL,Allstate Named One of 2016's 'Best Companies for Multicultural Women' by Working Mother,18-May-16,PRN,Allstate Insurance Company,Human Interest Groups,"""Inclusive diversity is a core value at Allstate – we know that welcoming different strengths, ideas and perspectives makes our company stronger and more innovative,"" said Christy Harris, Allstate's chief diversity officer. ""This recognition by Working Mother  reinforces the value we can offer our multicultural employees, women and men alike. At Allstate, we don't just 'talk the talk' – we continually 'walk the walk' to create an inclusive environment where diverse perspectives are encouraged and embraced."" | Top earners progress. Multicultural women at the Best Companies represent 17% of the top fifth of earners, quadrupling  their representation from last year's 4%. CEO commitment. At 96% of the Best Companies, CEOs show their commitment to advancing multiculturalism by requiring a diversity executive to report back to him/her on diversity metrics. They meet regularly to review goals and performance and provide information on diversity to the board of directors. Management representation.  The percentage of management positions held by multicultural women held steady from last year at the manager (14%), senior manager (8%) and corporate executive (4%) levels. Board seats.  Women hold 28% of the board seats at the Best Companies, the highest proportion attained in the initiative over the last eight years. However, multicultural women hold only 6% of the seats, down two percentage points from last year. Best Companies' workforce composition.  The 2016 Best Companies for Multicultural Women employ more than 2.5 million workers at 28,500 worksites across 50 states in the following 11 categories: automotive; consumer products; financial services; hospitality; hospitals and healthcare; insurance; manufacturing; professional services, management consulting and accounting; retail and apparel; science, technology, engineering, aerospace and medical devices; and telecommunications. Multicultural women make up 21% of total employees at the Best Companies, while multicultural men represent 18%. | Working Mother Media (WMM), a division of Bonnier Corporation ( bonnier.com), publishes Working Mother magazine and its companion website, workingmother.com. The Working Mother Research Institute (workingmother.com/wmri), the National Association for Female Executives ( nafe.com) and Diversity Best Practices (diversitybestpractices.com) are also units within WMM. WMM's mission is to serve as a champion of culture change. Working Mother  magazine is the only national magazine for career-committed mothers. Follow us on Facebook, Twitter, LinkedIn and Pinterest.",3,"76, 213, 74","Chief Diversity Officer, diversity",ALL - Allstate Named One of 2016's 'Best Companies for Multicultural Women' by Working Mother - 18-May-16 - PRN.pdf
ALL,Allstate Named One of the 50 Top Companies for Diversity by DiversityInc for the 11th Consecutive Year,26-Apr-16,PRN,The Allstate Corporation,Human Interest Groups,"""Inclusive diversity is one of Allstate's core values,"" said  Christy Harris, Allstate's chief diversity officer. ""We hold each other accountable for creating an inclusive environment where diverse perspectives are encouraged and embraced. By valuing diverse backgrounds, experiences, values and beliefs, we can work together to create better outcomes for our business, workforce and communities."" | ""It's clear that corporate America understands how diversity and inclusion strengthens everything from recruiting and retention to overall business success,"" said Luke Visconti, DiversityInc's founder and CEO. ""We saw more than 1,000 companies submitting for contention on the list. It's a sign of their commitment and dedication to diversity management."" | Allstate Named One of the 50 Top Companies for Diversity by DiversityInc for the 11th Consecutive Year  Tuesday, April 26, 2016 01:30:00 PM (GMT) | NORTHBROOK, Ill., April 26, 2016 For the 11th consecutive year, Allstate has been recognized by DiversityInc for its efforts to grow and manage diversity in its business. | Allstate was ranked No. 33 in DiversityInc's 2016 ""Top 50 Companies for Diversity"" survey, which annually evaluates the nation's top companies when it comes to hiring, retaining and promoting women, minorities, people with disabilities, LGBT and veterans. This is the most rigorous, data-driven survey of its kind, gauging detailed demographics based on race/ethnicity and gender at some of the largest U.S. employers. | Companies with more than 1,000 U.S.-based employees are eligible to enter, and there is no cost to compete. Each company's rank is based on an objective analysis of 183 separate factors, based on data from a 300-question survey. The four equally weighted areas of measurement are talent pipeline, equitable talent development, CEO/leadership commitment and supplier diversity. To view the entire Top 50 list, visit http://www.diversityinc.com/top50 or follow the conversation online with the hashtag #DITop50. | The mission of DiversityInc is to bring education and clarity to the business benefits of diversity. The DiversityInc Top 50 Companies for Diversity list began in 2001, at the same time that many corporations were beginning to understand the business value of diversity management initiatives. For more information, visit www.diversityinc.com, https://twitter.com/DiversityInc or  http://www.linkedin.com/company/DiversityInc or https://www.facebook.com/DiversityInc. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/allstate-named- one-of-the-50-top-companies-for-diversity-by-diversityinc-for-the-11th-consecutive-year-300257094.html",8,"54, 50, 24, 27, 62, 74, 55, 11","Chief Diversity Officer, Diversity and Inclusion, diversity",ALL - Allstate Named One of the 50 Top Companies for Diversity by DiversityInc for the 11th Consecutive Year - 26-Apr-16 - PRN.pdf
ALL,Allstate Names Sidley Austin LLP as First Recipient of Excellence in Diversity Award,25-Jan-17,PRN,The Allstate Corporation,"Corporate Social Responsibility, Human Interest Groups","""We are truly honored to receive the first-ever Allstate General Counsel's Excellence in Diversity Award,"" said Kirk Lipsey, partner with Sidley Austin LLP. ""We work hard to promote diversity and inclusion at Sidley, and this recognition by Allstate – a client that is at the forefront of efforts to advance diversity in the legal profession – is an inspiration to everyone at our firm."" | Allstate Names Sidley Austin LLP as First Recipient of Excellence in Diversity Award   Wednesday, January 25, 2017 09:14:00 PM (GMT) | NORTHBROOK, Ill., Jan. 25, 2017 /PRNewswire/ -- The Allstate Corporation (NYSE: ALL) has presented Sidley Austin LLP with the first Allstate General Counsel's Excellence in Diversity Award, recognizing the law firm that best exemplifies Allstate's commitment to improving diversity in the legal profession. | ""Sidley has demonstrated an exceptional commitment to attract, retain and promote diverse attorneys into its leadership ranks, as well as to support attorneys that require flexible work arrangements,"" said Susie Lees, Allstate's general counsel. ""The competition for this first-ever award was robust, making Sidley's achievement especially noteworthy. I thank all of our Premier Law Firms on their efforts to improve diversity in the legal profession, and for helping Allstate to advance this important objective."" | Allstate determined the winner by evaluating information from its Inclusive Diversity Scorecard, an assessment of outside counsels based on an annual review of recruiting and retention trends, career advancement of women and other diverse attorneys, staffing of Allstate matters with diverse attorneys, and pipeline efforts to increase diversity, among other factors. Sidley is notable for established initiatives, such as its Enhanced Mentoring Program and Committee on Retention and Promotion of Women, as well as for holding senior partners accountable for developing diverse attorneys. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/allstate-names- sidley-austin-llp-as-first-recipient-of-excellence-in-diversity-award-300396909.html",6,"64, 20, 43, 74, 83, 11","Diversity and Inclusion, diversity",ALL - Allstate Names Sidley Austin LLP as First Recipient of Excellence in Diversity Award - 25-Jan-17 - PRN.pdf
ALL,Allstate Recognized as One of the 50 Most Community,Minded Companies in the U.S. - 21-Jun,17,The Allstate Corporation,"Corporate Social Responsibility, Human Interest Groups","The Allstate Foundation Good Starts Young Initiative, which aims to help youth realize their full potential and achieve success in their life. Through Good Starts Young, The Allstate Foundation partners with organizations to increase academic performance, improve college and workplace readiness and empower youth to make meaningful contributions to society. In 2016, more than 1.7 million youth participated in Good Starts Young programs. Allstate Foundation Purple Purse, the nation's longest-running program focused on supporting domestic violence survivors through financial empowerment. Since 2005, Purple Purse has propelled more than 1 million survivors on the path to safety and security, and has invested more than $55 million to empower women to break free from abuse through life-changing financial education, job training and readiness, and small business programs. The cornerstone of the program is the academically validated Purple Purse Moving Ahead Through Financial Management  curriculum. The Allstate Foundation Helping Hands ® in the Community grant program, which provides funding through grants to nonprofits where Allstate employees and agency owners volunteer. In 2016, the Allstate Foundation awarded more than 5,500 Helping Hands grants, totaling more than $5.5 million, to nonprofits across the U.S. | Integration: How  does the company integrate its community engagement programs into key business functions, including employee engagement, marketing/PR, diversity and inclusion, recruiting, stakeholder relations and skill-development?",2,"189, 26","domestic violence, Diversity and Inclusion",ALL - Allstate Recognized as One of the 50 Most Community-Minded Companies in the U.S. - 21-Jun-17 - PRN.pdf
