who wrote the piece,subject,relevant_text,paragraphs,words,keywords,path
"Avon Products, Inc.","Corporate Social Responsibility, Human Interest Groups","Avon And The Avon Foundation For Women Boost Global Commitment To Ending Domestic Violence With Their Largest Single Donation To Front-Line Services  Monday, March 06, 2017 08:55:00 PM (GMT) | LONDON, March 6, 2017 /PRNewswire/ -- The Avon Foundation for Women, the world's largest corporate- affiliated philanthropy focused on issues that matter most to women, has today pledged its largest single donation, nearly £2 million, for female victims of gender-based violence.  £1 million of these funds will be granted across four countries, Argentina, Romania, South Africa  and the UK, to help front-line domestic violence services.  | In addition,  a nearly £1 million grant to Vital Voices Global Partnership will support The Justice Institute on Gender-Based Violence, an innovative training program which aims to facilitate effective coordinated criminal justice responses to addressing violence against women in countries around the world. This donation forms part of Avon's commitment to ending domestic violence and supporting survivors worldwide, and marks the launch of a new global Avon campaign focused on a range of issues of importance to women over the coming years. | Combating global domestic violence As an official partner of International Women's Day,  Avon is committed to speaking out against domestic violence and supporting the #BeBoldForChange global initiative. In the UK Avon has joined forces with Refuge, the UK charity committed to a world where domestic violence is not tolerated. Together Avon and Refuge have carried out an in-depth study that looks at a recently recognised area of coercive control, particularly impacting women aged 16 - 21, and the findings will form the basis of a new campaign to shift the dial on this type of abuse. | [The new research will be shared with an influential audience made up of global experts and stakeholders working to combat domestic violence at an event at Somerset House in London on Monday 6 March.  The event and adjoining exhibition celebrates the collective efforts of Avon, its Representatives, partners, associates, consumers, and supporters around the world that continue to fundraise and raise critical awareness for its causes.] | Sheri McCoy, Avon CEO says, ""To date, Avon and the Avon Foundation for Women have contributed more than $1 billion to the causes that matter most to women. This new landmark donation from The Avon Foundation builds on a legacy of work to speak out against domestic violence and support victims around the world.  Since 2004, the Avon Foundation's Speak Out Against Domestic Violence initiative has been a powerful voice for women, with programmes in 50 countries. We've already served 11 million women, educated 29 million about domestic violence, and contributed nearly $60 million to empowerment programs.  This new donation expands our impact further the will make a significant difference to NGOs supporting women in need of help."" | About Refuge Refuge opened the world's first refuge in Chiswick, West London, in 1971. Since then it has grown to become the country's largest single provider of specialist support to women and children escaping domestic violence and other forms of gender based violence. On any given day Refuge supports almost 5,000 women and children.   | Refuge's national network of specialist services include: safe emergency accommodation through refuges in secret locations across the country; community-based outreach services; culturally specific services for women from South Asian, African and Caribbean, Eastern European and Vietnamese backgrounds; independent advocacy services for women at the highest risk of serious injury and homicide; a range of single point of access services for women, children and men across entire regions; and the Freephone 24 Hour National Domestic Violence Helpline, run in partnership with Women's Aid.  | Avon Foundation for Women Avon is a global corporate leader in philanthropy focused on causes that matter most to women. Through 2016, Avon and the Avon Foundation for Women have contributed over  $1 billion in over 50 countries.  Avon global philanthropy programs focus on funding breast cancer research and advancing access to quality care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its Speak Out Against Domestic Violence program. Avon's global markets sell special products to raise awareness and funds for breast cancer and domestic violence, conduct hundreds of events for these causes, and educate women around the world through its global army of nearly six million Avon Representatives. | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/avon-and-the- avon-foundation-for-women-boost-global-commitment-to-ending-domestic-violence-with-their-largest-single- donation-to-front-line-services-300418658.html",10,"29, 65, 82, 96, 66, 118, 54, 82, 116, 12","domestic violence, domestic-violence",AVP - Avon And The Avon Foundation For Women Boost Global Commitment To Ending Domestic Violence With Their Largest Single Donation To Front-Line... - 06-Mar-17 - PRN.pdf
"Avon Products, Inc.",,"In a career spanning more than forty years prior to his retirement from Novartis Corporation at year-end 2011, Mr. Benjamin developed expertise in litigation, corporate transactions, antitrust, environmental regulation, equal employment opportunity, product liability and ethics and compliance.  Throughout his career at Ciba and Novartis, Mr. Benjamin exercised responsibility for the representation of his company in potentially material litigation and government investigations and, with his colleagues, built a solid track record of successful resolutions.  He is also known in the legal profession as a leader who recruits and develops high caliber talent. ",1,92,Equal Employment Opportunity,AVP - Avon Appoints Jeff Benjamin as General Counsel - 10-Sep-12 - PRN.pdf
Avon Foundation for Women,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","Avon Foundation for Women and Reese Witherspoon Announce New Domestic Violence Grants on International Women's Day  Thursday, March 08, 2012 11:37:00 AM (GMT) | NEW YORK , March 8, 2012 /PRNewswire/ -- In honor of International Women's Day, Avon Global Ambassador & Honorary Chairman of the Avon Foundation for Women Reese Witherspoon and Avon Chairman and CEO Andrea Jung announced ten $60,000 grants to support women's domestic violence shelters and agencies from around the world. The grants are part of the $2 million Avon Global Believe Fund established in 2011 to honor the 125th anniversary of Avon Products, Inc. and to continue the company's work to end violence against women around the world. Witherspoon and Jung presented the awards to the grant recipients at the 2nd World Conference of Women's Shelters. | With these new grants,  Avon has made a total of 26 Global Believe Fund grants in 21 countries to support women's domestic violence shelters and agencies. The Believe Fund is part of the Avon Speak Out Against Domestic Violence program, which has donated nearly $40 million globally to end violence against women. The Avon Foundation partnered with the National Network to End Domestic Violence (NNEDV) to identify and fund this international network of outstanding NGOs and help them provide critical life-saving services for victims of domestic violence and their families.  | The following domestic violence programs received 2012 Believe Fund grants: | NSW Women's Refuge Resource Centre (Australia): Women's Refuge is a network of 55 shelters for women and children escaping domestic violence and also provides resources and information for the community to improve their awareness of the issues relating to domestic violence. The Canadian Women's Foundation (Canada): The Canadian Women's Foundation provides programs to help end violence against women by focusing on training for healthy relationships and rebuilding lives through empowerment programs and community building. Hogar de Cristo Foundation (Chile): Hogar de Cristo Foundation provides shelters for victims of violence and this year will open a new shelter with the National Service of Women and the Police. Cerfami (Colombia): Cerfami works with the Medellin government to provide specialized services to victims of violence, including shelter and counseling. Maria Amor Foundation ( Ecuador):  Maria Amor Foundation provides shelter services for victims of violence at Casa Maria Amor, and develops productive and empowering projects for survivors. W.I.N Hellas (Greece): W.I.N HELLAS offers counseling support, specialized educational programs, shelter homes and legal counseling. Donne In Rete Contro la Violenza  (Italy): Donne In Rete Contro la Violenza is a network of 58 antiviolence centers and women's shelters that have supported thousands of women and their children escaping violence. Sensiblu Foundation (Romania): Sensiblu Foundation is the only non-governmental organizations in Bucharest working to prevent domestic violence through public awareness campaigns. Alliance of Women (Slovakia): Alliance of Women of  Slovakia monitors and translates international laws to protect women and disseminates information about legal options for victims of violence within Slovakia. International Women Rights Centre – La Strada  (Ukraine): La Strada -  Ukraine has successfully worked on the prevention of trafficking and the elimination of all forms of discrimination and violence in society since 1997. | Also in honor of International Women's Day 2012, the Avon Foundation for Women announced a new  App Challenge, called Ending Violence @ Home, in partnership with the Institute of Medicine. This competition is an invitation for domestic violence experts and technology enthusiasts to combine their talents and harness the power of technology to create mobile or online apps that will help prevent violence against women and children. Four prizes totaling $25,000 will be awarded. Registration is open from March 8 through May 31. | ""Decade after decade  Avon's success has been made possible by the shared belief in Avon's unique mission to improve women's lives. That is the spirit in which the Believe Fund was created. Now that spirit continues with these additional grants, which draw attention to the alarming lack of adequate services for women and children who are victims of domestic violence in communities around the globe.""  - Reese Witherspoon, Avon Global Ambassador and Avon Foundation for Women Honorary Chairman | ABOUT THE AVON FOUNDATION FOR WOMEN The Avon Foundation for Women, the world's largest corporate-affiliated philanthropy focused on issues that matter most to women, was founded in 1955 to improve the lives of women. Through 2011, Avon global philanthropy has donated more than $860 million in more than 50 countries for causes most important to women. Today, Avon philanthropy focuses its funding on breast cancer research and access to care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its  Speak Out Against Domestic Violence program. Avon also responds generously to provide support for relief and recovery efforts in times of major natural disasters and emergencies.   | ABOUT AVON'S SPEAK OUT AGAINST DOMESTIC VIOLENCE PROGRAM Avon's Speak Out Against Domestic Violence program launched in 2004 to support domestic violence awareness, education and prevention programs, as well as direct services for victims and their families. Globally, Avon supports efforts to end violence against women in over 50 countries by raising funds through special product sales and raising awareness through events and with educational information disseminated by 6.4 million global Avon Representatives. | To view the multimedia assets associated with this release, please click: http://www.multivu.com/mnr/55071-avon-foundation-for-women-reese-witherspoon-new-domestic-violence- grants ",10,"23, 107, 90, 10, 287, 83, 78, 112, 73, 13","domestic violence, domestic-violence",AVP - Avon Foundation for Women and Reese Witherspoon Announce New Domestic Violence Grants on International Women's Day - 08-Mar-12 - PRN.pdf
"Avon Products, Inc.","Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups",,0,0,,"AVP - Avon Foundation for Women announces new funding for Vital Voices, marking a ten-year partnership aimed at ending gender-based violence - 11-Jul-19 - PRN.pdf"
Avon Foundation for Women,"Not For Profit Organizations, Human Interest Groups","Avon Honors Global Champions in the Fight Against Breast Cancer and Domestic Violence at the Avon Foundation Global Voices for Change Gala  Thursday, November 03, 2011 10:37:00 AM (GMT) | NEW YORK , Nov. 3, 2011 /PRNewswire/ -- Avon Products, Inc. celebrated the culmination of its 125th anniversary year last night at the Avon Foundation for Women Global Voices for Change Gala  by honoring global champions working to end breast cancer and domestic violence, and by announcing the winners of Avon's first-ever global online singing talent search for women and songwriting competition for women and men, Avon Voices. Avon Chairman and CEO  Andrea Jung, Fergie, Natasha Bedingfield, Delta Goodrem, Ashley Greene and more than 800 guests and performers from 39 countries attended this star- studded celebration at the Marriot Marquis in New York City 's Times Square, which raised more than $2.3 million for the  Avon Foundation for Women. | Avon Foundation for Women President  Carol Kurzig, Filipina singer and actress Lea Salonga , and Australian Artist of the Decade  Delta Goodrem , presented the first Global Community Advocacy Champions Award to the Women's Crisis Center in Quezon City, Philippines, for its life-saving work to support victims of domestic violence. The Center provides crisis intervention, counseling, temporary shelter, education and training services and serves as secretariat for the National Network of Family Violence Prevention Programs. Theresa Balayon, Women's Crisis Center Executive Officer, accepted the award. | Refuge, the largest single provider of specialized domestic violence services in the  United Kingdom, received the second Global Community Advocacy Champions Award . Lisa King, an advocate in the effort to end violence against women and head of communications for Refuge, accepted the award from Carol Kurzig and GRAMMY-nominated singer/songwriter Natasha Bedingfield. Refuge helps disadvantaged, homeless and abused women and children rebuild their lives. Avon U.K. funding supports Refuge's network of independent domestic violence advocates who work with women who are at the greatest risk of serious injury and harm. | Andrea Jung and Ashley Greene, brand ambassador for mark, Avon's beauty and fashion boutique brand, presented Cynthia Leive, editor-in-chief of Glamour Magazine, with the 2011 Voice for Change Champion Award in recognition of Glamour's commitment to empowering and educating women by calling attention to the critical issue of partner violence. Earlier this year, the Avon Foundation partnered with Glamour in the Tell Somebody text-to-donate campaign that raised awareness and funds for the National Domestic Violence Hotline. Through this campaign, Glamour encouraged women to talk about relationship violence – both to ask for help and to offer it without judgment. In support of the Tell Somebody campaign, the Avon Foundation donated $200,000 to the National Domestic Violence Hotline to help ensure that no call goes unanswered when a victim makes the difficult decision to reach out for help. | The Avon Foundation for Women, the world's largest corporate-affiliated philanthropy focused on issues that matter most to women, was founded in 1955 to improve the lives of women. Through 2011, Avon global philanthropy has donated over $860 million in more than 50 countries for causes most important to women. Today, Avon philanthropy focuses its funding on breast cancer research and access to care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its  Speak Out Against Domestic Violence program. Avon also responds generously to provide support for relief and recovery efforts in times of major natural disasters and emergencies. Learn more about the Avon Foundation for Women at www.avonfoundation.org.",6,"29, 119, 85, 90, 137, 115",domestic violence,AVP - Avon Honors Global Champions in the Fight Against Breast Cancer and Domestic Violence at the Avon Foundation Global Voices for Change Gala - 03-Nov-11 - PRN.pdf
"Avon Products, Inc.",Human Interest Groups,"Avon launches #EmbraceTheChange campaign to raise awareness of violence against women and girls as new research shows only 60% believe sexual abuse claims will be taken seriously  Thursday, November 22, 2018 12:30:00 PM (GMT) | - Only 60% of women believe that claims of sexual abuse will be taken seriously by legal and law enforcement systems | One in five women do not feel safe The findings show one in five women globally do not feel safe in their community, rising to 47% in  South Africa and 51% in Turkey. The research shows that women also feel unprotected by their societies. Only 60% of women believe that claims of sexual abuse will be taken seriously (falling to 48% in Peru), and only 58% trust their legal systems to protect victims of physical or sexual abuse (falling to 45% in Turkey). 59% of women in Argentina and 58% in South Africa  trust their legal system to treat physical abuse as a crime. | 82% of women globally consider whistling, shouting and sexual comments to constitute abuse. Only 40% of British women and 54% of Polish women would know where to seek support for abuse. 38% of Filipino women believe it is a wife's duty to give her partner sex when he wants it, compared to 9% globally. Only 79% of Filipino women think it is acceptable to use contraception. Only 64% of women in Brazil, 62% in Argentina and 61% in South Africa  trust the legal enforcement system in their country to treat sexual abuse as a crime. 44% of women in Peru do not believe claims of sexual abuse will be taken seriously by the legal and law enforcement system. Only 88% of women in Italy think that pressuring a woman to have sex constitutes abuse. |  View original content: http://www.prnewswire.com/news-releases/avon-launches-embracethechange- campaign-to-raise-awareness-of-violence-against-women-and-girls-as-new-research-shows-only-60-believe- sexual-abuse-claims-will-be-taken-seriously-300753544.html",5,"34, 21, 104, 134, 6","sexual abuse, sexual-abuse",AVP - Avon launches #EmbraceTheChange campaign to raise awareness of violence against women and girls as new research shows only 60% believe sexu... - 22-Nov-18 - PRN.pdf
"Avon Products, Inc.","Corporate Social Responsibility, Human Interest Groups","Cherie Blair, Founder of the Cherie Blair Foundation for Women, said: ""When you look at the opportunities that women have forged in the last 20 years there is so much to be proud of. But when you consider the enormity of the entrepreneurial gender gap, it's a wakeup call to how many more hurdles we have to work together to take down. The Cherie Blair Foundation for Women are excited to collaborate with Avon on stand4her. Their plans are ambitious. But they need to be. Women's entrepreneurship has the power to change the world.  As well as boosting global GDP, closing the gender gap in entrepreneurship and fueling the growth of women-owned enterprises will unleash new ideas, services and products into our markets that will redefine the future."" | Only half of women feel they live in a culture that encourages female entrepreneurs Advancing women's economic potential could increase global GDP by $12-$28 trillion annually Nearly 80% of women believe beauty brands put too much pressure on them to be perfect A fifth of women feel unsafe in their communities, and a third will experience physical or sexual violence during their lifetime",2,"128, 63","sexual violence, gender gap",AVP - Avon launches stand4her - a global plan to improve the lives of 100 million women a year - 04-Mar-19 - PRN.pdf
"Avon Products, Inc.","Corporate Social Responsibility, Licensing & Marketing Agreements, New Products & Services, Human Interest Groups","estimates of violence against women: prevalence and health effects of intimate partner violence and non-partner sexual violence. | Chair of the Avon Foundation for Women,  Amy Greene, said: ""The Avon Foundation is committed to breaking down the barriers that hold women and girls back.  One in three women2 is directly affected by gender-based violence around the world, and domestic violence kills more women than any other issue.  Too often, women and girls suffer in silence, and spotting the signs of violence and abuse can be difficult for friends and family to recognise. Avon wants to open up the dialogue about violence against women and girls, to help educate and empower people to speak up. Together with WAGGGS we have a powerful combined reach that can make a tangible difference."" | To encourage more women to open up and speak out about their experiences,  Avon has also partnered with Peace One Day to tell three survivor's stories. Launched on Peace Day, September 2019, the films chart the experience of three women in the United Kingdom, South Africa  and Mexico who are survivors of intimate partner violence. The films can be viewed here.  ",3,"17, 111, 61","sexual violence, domestic violence, intimate partner violence",AVP - Avon partners with WAGGGS to help more women and girls to #SpeakOutListenUp on gender-based violence - 19-Nov-19 - PRN.pdf
ALS Therapy Development Foundation,New Products & Services,"Avon global philanthropy has donated more than $800 million in more than 50 countries for causes most important to women. Today, Avon philanthropy focuses its funding on breast cancer research and access to care through the Avon Breast Cancer Crusade  – which has donated more than  $700 million globally – and efforts to reduce domestic and gender violence through its Speak Out Against Domestic Violence  program. Avon also responds generously to provide support for relief and recovery efforts in times of major natural disasters and emergencies.",1,86,domestic violence,"AVP - Avon Products, Inc. Launches National Fundraising Program for ALS TDI to Advance Treatments for ALS - 01-Nov-11 - PRN.pdf"
,,,0,0,,"AVP - Avon Products, Inc.(AVP-US) Schedules Q2 2019 Earnings Call for 1-August-2019 900 AM ET - 03-Jul-19 - FCSTEV.pdf"
"Avon Products, Inc.",Human Interest Groups,"Find out more about Avon's diversity and inclusion: http://www.avoncompany.com/corporate- responsibility/people/diversity-inclusion/ | Avon's founders were pioneers of women's financial empowerment – opening up opportunities for women to participate in the economy, in their own way and on their own terms, long before women's rights were recognised. Avon is proud to have been one of the original signatories to the UN Women's Economic Principles and this commitment to the LGBTI Standards is a natural extension of  Avon's commitment to diversity and inclusivity.",2,"10, 69","Diversity and Inclusion, diversity",AVP - Avon signs up to the UN's LGBTI Standards of Conduct for Business - 12-Nov-18 - PRN.pdf
"Avon Products, Inc.","Corporate Social Responsibility, Human Interest Groups","Avon Foundation for Women Awards Grants Totaling $120 000 to Local Domestic Violence Organizations Grant is part of Avon's new $2 million commitment to end violence against women in honor of its 125th anniversary celebration | At each event, Jung and Witherspoon presented a grant of  $60,000 to a local organization to continue its work to support victims of domestic violence. In Warsaw, the grant was made to Blue Line; in Moscow, the grant went to ANNA, the National Center for the Prevention of Violence in Russia.   | Blue Line, founded in 1995, is a Polish organization dedicated to preventing domestic violence against women and children with programs such as the first ever country-wide media campaign titled ""Stop the Violence."" ANNA, the National Center for the Prevention of Violence in Russia, is a regional non- governmental organization focused on the prevention of violence and the development of services for women survivors of violence. This March, ANNA partnered with Avon Russia to create the National Help Line for Women victims of domestic violence. | These grants were made as part of the new  $2 million Avon Global Believe Fund that  Avon created to help support women's domestic violence shelters and agencies in each of the 16 cities on the Avon Believe World Tour. The Avon Foundation for Women has partnered with the National Network to End Domestic Violence (NNEDV) to identify and fund an international network of outstanding nonprofit organizations to help them provide critical life-saving services for victims of domestic violence and their families. This global effort also aims to draw attention to the alarming lack of adequate services for women and children who are victims of domestic violence in communities everywhere. | Avon is a global corporate leader in philanthropy focused solely on causes that matter most to women. Through 2010 Avon global philanthropy, led by the U.S.-based Avon Foundation for Women, has donated more than $800 million in more than 50 countries for causes most important to women.  Avon's funding is focused on breast cancer research and access to care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its Speak Out Against Domestic Violence program. Avon also responds generously to provide support for relief and recovery efforts in times of major natural disasters and emergencies. The company's global markets sell special products to raise funds for breast cancer and domestic violence, conduct hundreds of events that raise funds and awareness for these causes, and provide critical life-saving information to women everywhere through it global army of more than 6.5 million Avon Representatives.",5,"35, 51, 84, 109, 148",domestic violence,AVP - Global Ambassador Reese Witherspoon and Avon Chairman and CEO Andrea Jung Continue Year-Long Avon Believe World Tour in Poland and Russia - 17-Jun-11 - PRN.pdf
"Avon Products, Inc.","Corporate Social Responsibility, Human Interest Groups","[iii] The Avon Foundation for Women is the world's largest corporate-affiliated philanthropy focused on issues that matter most to women.  Since its inception in 1955, the Avon Foundation has promoted or aided charitable, scientific, educational, and humanitarian activities, with a special emphasis on activities that improve the lives of women and their families. Through 2016, Avon and the Avon Foundation have contributed over $1 billion in over 50 countries. Today, Avon global philanthropy programs focus on funding breast cancer research and advancing access to quality care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its Speak Out Against Domestic Violence program. Visit www.avonfoundation.org for more information.",1,113,domestic violence,"AVP - Majority of women do not know early signs of breast cancer, finds global survey by Avon - 25-Sep-17 - PRN.pdf"
"Avon Products, Inc.","Not For Profit Organizations, Human Interest Groups","WASHINGTON, March 13, 2013 /PRNewswire/ -- mark. Brand Ambassador  Ashley Greene joined advocates on Capitol Hill in Washington, D.C. for a congressional briefing to announce data from the ""NO MORE Study: Teens and Young Adults,"" funded by m.powerment by mark., managed by the Avon Foundation for Women. The results of the study – which explored attitudes toward, and experience with dating abuse, partner violence, and sexual assault among teens and young adults – clearly underscore the need to educate young people so they recognize the signs of abuse and how to safely intervene to help end it. | The study showed that dating violence and sexual assault are a disturbing reality in the lives of young people. One in 6 young women self-reported having been a victim of sexual assault, more than a third reported knowing a victim of sexual assault and over half know a victim of dating abuse. In contrast, only 36% of young men reported knowing a victim of dating violence and 25% reported knowing a sexual assault victim, because they talk much less about the issue. However, the study found that both young women and men are willing to intervene to stop abuse, but they don't feel confident to recognize abusive situations and are unsure how to intervene. | mark. Global President Meg Lerner, who introduced Ashley Greene at the congressional briefing, said: ""NO MORE is such an impressive coalition of this country's domestic violence awareness, advocacy and direct service organizations who have united with their government partners and the private sector in a common commitment to say NO MORE.  ""The Avon Foundation for Women and m.powerment by mark. are proud to be a part of this important movement to break the silence and end domestic violence and sexual assault."" | Dating violence and sexual assault are a disturbing reality in the lives of young people between the ages 15 to 22 today: | 1 in 6 young women self-report having been a victim of sexual assault.  More than a third of them know a victim of sexual assault, and over half know a victim of dating abuse. Young men are less aware of the issue impacting those they know:  36 percent of young men report | knowing a victim of dating abuse and a quarter know a victim of sexual assault. | While 40 percent of young women 15 to 17 know someone who's been a victim of dating abuse, by 18 to 22 almost 60 percent know a victim. Unfortunately, while 6 percent of 15-17 year old girls have themselves been a victim of sexual assault, among 18-22 year olds 22 percent have been sexually assaulted. | About m.powerment by mark.   m.powerment by mark., a philanthropic initaitve managed by the  Avon Foundation, is dedicated to breaking the cycle of dating abuse and partner violence. m.powerment by mark. raises funds through products including the m.powerment Gift Set, Linked to My Heart Bracelet  and Power of Change Necklace. 100 percent of net proceeds are donated to the campaign to help raise awareness and funds in support of the cause. All funds raised are awarded as grants to programs and organizations that are making strides in breaking this cycle. These funds are a portion of almost $50 million raised and awarded to end partner abuse and violence against women by Avon's Global speak out against Domestic Violence program, launched in 2004. ",8,"97, 114, 81, 22, 52, 15, 55, 121","domestic violence, sexual assault",AVP - mark. Brand Ambassador Ashley Greene Announces NO MORE Campaign Study Results On Capitol Hill - 13-Mar-13 - PRN.pdf
"Avon Products, Inc.",New Products & Services,"The Avon Foundation for Women, the world's largest corporate-affiliated philanthropy focused on issues that matter most to women, was founded in 1955 to improve the lives of women. Through 2010, Avon global philanthropy has donated more than $800 million in more than 50 countries for causes most important to women. Today, Avon philanthropy focuses its funding on breast cancer research and access to care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its  Speak Out Against Domestic Violence program. Avon also responds generously to provide support for relief and recovery efforts in times of major natural disasters and emergencies.",1,106,domestic violence,AVP - Over 1.7 Million Votes Cast in Avon Voices Global Singing Talent Search and the Results Are In! Vote Now to Select 25 Semi-Finalists - 01-Jun-11 - PRN.pdf
The Avon Foundation for Women,"Corporate Social Responsibility, Not For Profit Organizations, Human Interest Groups","Reese previewed the Empowerment Necklace on February 28 at the 2nd World Conference of Women's Shelters in Washington, D.C., which convened more than 1,400 advocates, activists and leaders from 96 countries to collaborate to change attitudes about domestic and sexual violence. | NEW YORK , March 5, 2012 /PRNewswire/ -- Reese Witherspoon, Avon Global Ambassador & Honorary Chairman of the Avon Foundation for Women, today launches the new Empowerment ""Circle of Support"" Necklace in recognition of International Women's Day on March 8th. The necklace is the latest Avon fund- raising product that raises life-saving funds for the Avon Speak Out Against Domestic Violence program, which has donated nearly $40 million to end the epidemic of violence against women globally. | Empowerment ""Circle of Support Necklace"" One hundred percent of the net profits from the necklace's sale will benefit Avon's Speak Out Against Domestic Violence initiative. The silvertone necklace features the infinity symbol, which in Avon's Speak Out campaign represents lives with unlimited potential when free from violence. | ""It's a shocking reality that one in three women worldwide will experience violence in their lives.  It's an unacceptable truth that we must all work to change,"" said Reese Witherspoon, Avon Global Ambassador & Avon Foundation for Women Honorary Chairman. ""In recognition of International Women's Day, I'm proud to support the Avon Speak Out Against Domestic Violence program and I encourage everyone to purchase, wear or give the Avon Empowerment Necklace to help raise awareness as well as vital money for domestic abuse support services."" | Available for  $5.00 (U.S.) 100 percent of profits from this product ($3.71) in the United States will be donated to the Avon Foundation for programs dedicated to ending violence against women Receive a  Domestic Violence Resource Guide FREE with purchase (U.S.) Available through Avon Sales Representatives in 50 countries by visiting  www.avon.com | About the Avon Foundation for Women and Avon Global Philanthropy Avon is a global corporate leader in philanthropy focused solely on causes that matter most to women. Through 2011, Avon global philanthropy, led by the U.S.-based Avon Foundation for Women, donated more than $860 million in more than 50 countries for causes most important to women. Today,  Avon philanthropy focuses its funding on breast cancer research and access to care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its Speak Out Against Domestic Violence program. | About  Avon's Speak Out Against Domestic Violence Program Avon's Speak Out Against Domestic Violence program launched in 2004 to support domestic violence awareness, education and prevention programs, as well as direct services for victims and their families. Globally, Avon supports efforts to end violence against women in over 50 countries by raising funds through special product sales and raising awareness through events and with educational information disseminated by 6.4 million global Avon Representatives.",7,"41, 77, 47, 85, 52, 92, 73","sexual violence, domestic violence",AVP - Reese Witherspoon Announces New Avon Empowerment Necklace to Raise Funds to End Violence Against Women in Recognition of International Wome... - 05-Mar-12 - PRN.pdf
Avon Foundation for Women,"Not For Profit Organizations, New Products & Services, Human Interest Groups, Public Safety, Socially Responsible Investing","The Avon Foundation For Women Launches First-Of-Its-Kind Collaborative To Create Sexual Assault Action Plans On College Campuses  Thursday, December 01, 2016 03:00:00 PM (GMT) | ""The Avon Foundation has been funding bystander initiatives and awareness campaigns around sexual assault for a long time and this National Leadership Institute is breaking new ground to change the way we work together to address gender-based violence,"" said Christine Jaworsky, Avon Foundation Program Director. ""We've just spent two days looking at best practices and solutions to shift campus culture away from victim blaming to a more trauma-based perspective; now the real work begins."" | Through a  $200,000 grant from the Avon Foundation, participating schools will develop and implement action plans to prevent and respond to sexual assault at their respective institutions. Futures Without Violence and the extensive faculty of the National Leadership Institute will work closely with the schools to integrate a multi-disciplinary approach to ending gender-based violence on school campuses. This will include webinars with experts, ongoing consultations, toolkits and additional online resources to advance the learning collaborative. | ""Through legal advocacy grounded in support for survivors and an ethos of care, the Gender Violence Program and Futures Without Violence have been on the forefront of the national effort to use Title IX to prevent and address campus sexual assault,"" said Diane L. Rosenfeld, the founding Director of the Gender Violence Program at Harvard Law School and a Lecturer on Law. ""Now, we are making an important step forward with the support and leadership of the Avon Foundation."" | ATLANTA, Dec. 1, 2016 /PRNewswire/ -- Today, the Avon Foundation for Women announced the launch of the first multi-disciplinary collaborative of 20 colleges and universities across the country dedicated to addressing gender-based violence on campus. The collaborative brought together representatives from 10 schools from the southeastern US to participate in a two-day program that dialogues around key learnings from across the country to prevent campus assault and sexual violence. As a result, each participating school will create a campus action plan that takes a trauma-based approach and involves students, college administration, campus police and leading consultants on gender-based violence. | The National Leadership Institute focuses on four major areas: 1) fundamentals of gender-based violence and trauma, 2) campus cultures and climate, 3) prevention and education, and 4) response, policy, and adjudication. Developed in consultation with national experts and institutional representatives from schools across the country, the curriculum provides colleges and universities the opportunity to learn best practices in the prevention, response and resolution of sexual violence, and the tools needed to implement action plans. Each school's action plan will address prevention education; accommodations, support and safety | Avon Speak Out Against Domestic Violence  Avon and the Avon Foundation for Women launched  Speak Out Against Domestic Violence in 2004 to support domestic violence awareness, education and prevention programs aimed at reducing domestic and gender violence, and to provide direct services for victims and their families. Through 2015, Avon and the Avon Foundation have contributed nearly $60 million to support this goal. Globally, Avon supports efforts to end violence against women in nearly 50 countries by raising funds through special product sales and educating women around the world through its army of nearly six million Avon Representatives. For more information, visit http://avonfoundation.org/. | About  Avon and the Avon Foundation for Women  Avon is a global corporate leader in philanthropy focused on causes that matter most to women. Through 2015, Avon and the Avon Foundation for Women have contributed over  $1 billion in over 50 countries. Avon's funding is focused on breast cancer research and advancing access to quality care through the Avon Breast Cancer Crusade, and efforts to reduce domestic and gender violence through its  Speak Out Against Domestic Violence program. The company's global markets sell special products to raise awareness and funds for breast cancer and domestic violence, conduct hundreds of events for these causes, and educate | To view the original version on PR Newswire, visit: http://www.prnewswire.com/news-releases/the-avon- foundation-for-women-launches-first-of-its-kind-collaborative-to-create-sexual-assault-action-plans-on-college- campuses-300371344.html",9,"24, 74, 75, 79, 99, 86, 103, 105, 12","sexual violence, sexual-assault, domestic violence, sexual assault",AVP - The Avon Foundation For Women Launches First-Of-Its-Kind Collaborative To Create Sexual Assault Action Plans On College Campuses - 01-Dec-16 - PRN.pdf
